record,reference,sheet,shape_old,shape_new,c_old_mm,f_old_mm,e_old_mm,l2_old_mm,s1_old_mm,s2_old_mm,c_new_mm,f_new_mm,e_new_mm,l2_new_mm,s1_new_mm,s2_new_mm,printed_bore_f_x_c,printed_tube,printed_flange,printed_length_overall_inner,wall_depth_direction_mm,note
Bobbin EE 12.6 horizontal longer-creepage 6-pin 3.81mm 2-chamber (Norwe N0139-106),N0139-106,https://www.norwe.eu/katalogbilder/001/n0138a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,8.7,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,8.7,8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 10 vertical 6-pin (Norwe 09640-024),09640-024,https://www.norwe.eu/katalogbilder/001/09640a01.pdf,E 10/5.5/5,E 10/3,3.05,3.05,6.9,4.5,0.4,0.5,3.1,3.1,6.9,6.7,0.65,,3.1 x 3.1,4.4 x 4.4,6.9,6.7 / not printed (s2 kept),0.65,"bore 3.1 x 3.1 square cannot pass the E 10/5.5/5 column (4.7 deep); E 10/3 (2.94 x 2.94, window 7.15 x 7.12) is the MAS shape it fits, and matches IEC Bobbin E10/3 (c=f=3.15, e=l2=6.8); winding length not dimensioned, s2 kept"
Bobbin EE 12.6 vertical 6-pin 3.81mm (Norwe 09785-106),09785-106,https://www.norwe.eu/katalogbilder/001/09785a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,not dimensioned alone (e kept),8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 vertical 6-pin 3.81mm 2-chamber (Norwe 09786-106),09786-106,https://www.norwe.eu/katalogbilder/001/09785a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,not dimensioned alone (e kept),8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 vertical longer-creepage 6-pin 3.81mm (Norwe N0169-106),N0169-106,https://www.norwe.eu/katalogbilder/001/n0169a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,not dimensioned alone (e kept),8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin EE 12.6 vertical longer-creepage 6-pin 3.81mm 2-chamber (Norwe N0176-106),N0176-106,https://www.norwe.eu/katalogbilder/001/n0169a01.pdf,EE 12.6,E 13/7/4,2.3,3.9,8.5,5.6,0.4,0.5,3.9,3.9,,8.7,0.6,0.6,3.9 x 3.9,5.1 x 5.1,not dimensioned alone (e kept),8.7 / 7.5,0.6,"sheet accessory Spring-Clip SB-EF 12.6: EF 12.6 = E 13/7/4 (3.55 x 3.55 column); MAS E 12.6/6.4/3.6 has F = 4.6 mm, which no EE 12.6 former bore (3.9-4.0) passes"
Bobbin M 20 horizontal 8-pin 5.0mm (Norwe 00220-024),00220-024,https://www.norwe.eu/katalogbilder/001/00220a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.6,0.85,0.9,5.5 x 5.5,7.2 x 7.2,12.5,12.6 / 10.8,0.85,
Bobbin M 20 horizontal 8-pin 5.0mm 2-chamber (Norwe 00221-024),00221-024,https://www.norwe.eu/katalogbilder/001/00220a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.6,0.85,0.9,5.5 x 5.5,7.2 x 7.2,12.5,12.6 / 10.8,0.85,
Bobbin M 20 horizontal 8-pin 5.08mm (Norwe 00222-024),00222-024,https://www.norwe.eu/katalogbilder/001/00222a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.6,0.85,0.9,5.5 x 5.5,7.2 x 7.2,12.5,12.6 / 10.8,0.85,
Bobbin M 20 horizontal 8-pin 5.08mm 2-chamber (Norwe 00223-024),00223-024,https://www.norwe.eu/katalogbilder/001/00222a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.6,0.85,0.9,5.5 x 5.5,7.2 x 7.2,12.5,12.6 / 10.8,0.85,
Bobbin M 20 horizontal solder-tags (Norwe 00117-024),00117-024,https://www.norwe.eu/katalogbilder/001/00117a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.5,0.7,0.85,5.5 x 5.5,6.9 x 6.9,12.5,12.5 / 10.8,0.7,
Bobbin M 20 horizontal solder-tags 2-chamber (Norwe N0241-024),N0241-024,https://www.norwe.eu/katalogbilder/001/00117a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.5,0.7,0.85,5.5 x 5.5,6.9 x 6.9,12.5,12.5 / 10.8,0.7,
Bobbin M 20 horizontal solder-tags ll (Norwe 00130-024),00130-024,https://www.norwe.eu/katalogbilder/001/00130a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.5,0.7,0.85,5.5 x 5.5,6.9 x 6.9,12.5,12.5 / 10.8,0.7,
Bobbin M 20 horizontal solder-tags ll 3-chamber (Norwe N0108-024),N0108-024,https://www.norwe.eu/katalogbilder/001/00130a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,12.5,12.5,0.7,0.85,5.5 x 5.5,6.9 x 6.9,12.5,12.5 / 10.8,0.7,
Bobbin M 22 horizontal solder-tags (Norwe 00250-024),00250-024,https://www.norwe.eu/katalogbilder/001/00250a01.pdf,M 22,M 22,3.5,5.3,10.8,6.2,0.5,0.5,5.3,5.3,12.5,14.1,0.7,0.85,5.3 x 5.3,6.7 x 6.7,12.5,14.1 / 12.4,0.7,
Bobbin M 20 vertical 8-pin 5.0mm (Norwe 00160-024),00160-024,https://www.norwe.eu/katalogbilder/001/00160a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,,12.5,0.7,0.8,5.5 x 5.5,6.9 x 6.9,not dimensioned alone (e kept),12.5 / 10.9,0.7,
Bobbin M 20 vertical 8-pin 5.0mm 2-chamber (Norwe 00161-024),00161-024,https://www.norwe.eu/katalogbilder/001/00160a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,,12.5,0.7,0.8,5.5 x 5.5,6.9 x 6.9,not dimensioned alone (e kept),12.5 / 10.9,0.7,
Bobbin M 20 vertical 8-pin 5.0mm-9 (Norwe N0114-106),N0114-106,https://www.norwe.eu/katalogbilder/001/n0114a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,,12.5,0.65,0.6,5.5 x 5.5,6.8 x 6.8,not dimensioned alone (e kept),12.5 / 11.3,0.65,
Bobbin M 20 vertical 8-pin 5.0mm-9 2-chamber (Norwe N0115-106),N0115-106,https://www.norwe.eu/katalogbilder/001/n0114a01.pdf,M 20,M 20,3.5,5.5,12.6,7.2,0.7,0.5,5.5,5.5,,12.5,0.65,0.6,5.5 x 5.5,6.8 x 6.8,not dimensioned alone (e kept),12.5 / 11.3,0.65,
Bobbin M 30a vertical 8-pin 7.5mm (Norwe 00630-106),00630-106,https://www.norwe.eu/katalogbilder/001/00630a01.pdf,M 30a,M 30a,7.5,9.1,19.0,17.5,0.8,0.5,7.5,7.5,,19.2,0.8,0.85,7.5 x 7.5,9.1 x 9.1,not dimensioned alone (e kept),19.2 / 17.5,0.8,
Bobbin M 30a vertical 8-pin 7.5mm 2-chamber (Norwe 00631-106),00631-106,https://www.norwe.eu/katalogbilder/001/00630a01.pdf,M 30a,M 30a,7.5,9.1,19.0,17.5,0.8,0.5,7.5,7.5,,19.2,0.8,0.85,7.5 x 7.5,9.1 x 9.1,not dimensioned alone (e kept),19.2 / 17.5,0.8,
Bobbin M 30a vertical 8-pin 5.08mm (Norwe 00635-106),00635-106,https://www.norwe.eu/katalogbilder/001/00635a01.pdf,M 30a,M 30a,7.5,9.1,19.0,17.5,0.8,0.5,7.5,7.5,,19,0.7,0.8,7.5 x 7.5,8.9 x 8.9,not dimensioned alone (e kept),19 / 17.4,0.7,
Bobbin M 30a vertical 8-pin 5.08mm 2-chamber (Norwe N0116-106),N0116-106,https://www.norwe.eu/katalogbilder/001/00635a01.pdf,M 30a,M 30a,7.5,9.1,19.0,17.5,0.8,0.5,7.5,7.5,,19,0.7,0.8,7.5 x 7.5,8.9 x 8.9,not dimensioned alone (e kept),19 / 17.4,0.7,
Bobbin M 42 vertical 8-pin 5.0mm (Norwe 01420-024),01420-024,https://www.norwe.eu/katalogbilder/001/01420a01.pdf,M 42,M 42,5.0,14.5,25.9,17.6,0.8,0.5,15.7,12.7,,28,0.9,1.05,12.7 x 15.7,14.5 x 17.6,not dimensioned alone (e kept),28 / 25.9,0.95,"rectangular bore: f = the dimension that stays when the stack grows (M 42-20 sheet: 12.8 x 20.5 vs M 42: 12.7 x 15.7), i.e. the centre-leg width"
Bobbin M 42 vertical 8-pin 5.0mm 2-chamber (Norwe 01421-024),01421-024,https://www.norwe.eu/katalogbilder/001/01420a01.pdf,M 42,M 42,5.0,14.5,25.9,17.6,0.8,0.5,15.7,12.7,,28,0.9,1.05,12.7 x 15.7,14.5 x 17.6,not dimensioned alone (e kept),28 / 25.9,0.95,"rectangular bore: f = the dimension that stays when the stack grows (M 42-20 sheet: 12.8 x 20.5 vs M 42: 12.7 x 15.7), i.e. the centre-leg width"
