name,orderCode,field,old_m,new_m,source,reading,provenance
Bobbin PQ 26/20,PQ0030FR3BLK0001,dimensions.b1,,0.00469,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0030.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 -0.06 mm, a +0.04 mm"
Bobbin PQ 26/20,PQ0030FR3BLK0001,dimensions.a1,,0.00352,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0030.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 -0.06 mm, a +0.04 mm"
Bobbin PQ 26/25,PQ0040FR3BLK0001,dimensions.H3,,0.00643,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0040.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 +0.04 mm, a -0.03 mm"
Bobbin PQ 26/25,PQ0040FR3BLK0001,dimensions.H4,,0.00431,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0040.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 +0.04 mm, a -0.03 mm"
Bobbin PQ 26/25,PQ0040FR3BLK0001,dimensions.b1,,0.0047,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0040.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 +0.04 mm, a -0.03 mm"
Bobbin PQ 26/25,PQ0040FR3BLK0001,dimensions.a1,,0.00356,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0040.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.03 mm, H2 +0.04 mm, a -0.03 mm"
Bobbin PQ 32/20,PQ0050FR3BLK0001,dimensions.H3,,0.0074,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0050.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.05 mm, H2 -0.06 mm, a +0.01 mm"
Bobbin PQ 32/20,PQ0050FR3BLK0001,dimensions.H4,,0.0043,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0050.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.05 mm, H2 -0.06 mm, a +0.01 mm"
Bobbin PQ 32/20,PQ0050FR3BLK0001,dimensions.b1,,0.0055,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0050.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.05 mm, H2 -0.06 mm, a +0.01 mm"
Bobbin PQ 32/20,PQ0050FR3BLK0001,dimensions.a1,,0.00372,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0050.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.05 mm, H2 -0.06 mm, a +0.01 mm"
Bobbin PQ 32/30,PQ0060FR3BLK0001,dimensions.H3,,0.00739,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0060.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.00 mm, H2 +0.01 mm, a +0.03 mm"
Bobbin PQ 32/30,PQ0060FR3BLK0001,dimensions.H4,,0.00462,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0060.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.00 mm, H2 +0.01 mm, a +0.03 mm"
Bobbin PQ 32/30,PQ0060FR3BLK0001,dimensions.b1,,0.00554,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0060.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.00 mm, H2 +0.01 mm, a +0.03 mm"
Bobbin PQ 32/30,PQ0060FR3BLK0001,dimensions.a1,,0.00369,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0060.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.00 mm, H2 +0.01 mm, a +0.03 mm"
Bobbin PQ 35/35,PQ0070FR3BLK0001,dimensions.H3,,0.00764,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0070.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.03 mm, H2 +0.10 mm, a -0.06 mm"
Bobbin PQ 35/35,PQ0070FR3BLK0001,dimensions.H4,,0.00522,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0070.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.03 mm, H2 +0.10 mm, a -0.06 mm"
Bobbin PQ 35/35,PQ0070FR3BLK0001,dimensions.b1,,0.00606,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0070.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.03 mm, H2 +0.10 mm, a -0.06 mm"
Bobbin PQ 35/35,PQ0070FR3BLK0001,dimensions.a1,,0.00502,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0070.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 -0.03 mm, H2 +0.10 mm, a -0.06 mm"
Bobbin PQ 40/40,PQ0080FR3BLK0001,dimensions.a,0.03493,0.040005,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,"top view, overall dimension 1.575 in across the rail blocks along the pin rows (the record held 1.3752 in, the PQ0070 value)",stated on the drawing
Bobbin PQ 40/40,PQ0080FR3BLK0001,dimensions.H3,,0.00826,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,side view: bottom flange outer face (left extension line of H1) to the pin standoff (left extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.07 mm, H2 -0.19 mm, a +0.08 mm"
Bobbin PQ 40/40,PQ0080FR3BLK0001,dimensions.H4,,0.00519,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,side view: top flange outer face (right extension line of H1) to the top of the core-retaining tabs (right extension line of c),"measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.07 mm, H2 -0.19 mm, a +0.08 mm"
Bobbin PQ 40/40,PQ0080FR3BLK0001,dimensions.b1,,0.00645,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,"top view: outer rail edge (extension line of b) to the innermost edge of the rail outline, mean of the two rows","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.07 mm, H2 -0.19 mm, a +0.08 mm"
Bobbin PQ 40/40,PQ0080FR3BLK0001,dimensions.a1,,0.0112,https://milesplatts.co.uk/Content/Downloads/UPDATED%20Datasheets/pq0080.pdf,"top view: between the facing edges of the two rail blocks of a row, centred on the column axis","measured at scale from the raster drawing (400 dpi); drawing self-check at this scale: H1 +0.07 mm, H2 -0.19 mm, a +0.08 mm"
